Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21500496k free), swap 35582860k(14059528k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:39:36.367+0800: 0.683: [Full GC (Metadata GC Threshold) 2021-01-22T21:39:36.367+0800: 0.683: [Tenured: 0K->14560K(2796224K), 0.0483429 secs] 402672K->14560K(4054528K), [Metaspace: 20502K->20502K(1067008K)], 0.0484515 secs] [Times: user=0.14 sys=0.00, real=0.05 secs] 
2021-01-22T21:39:37.638+0800: 1.954: [Full GC (Metadata GC Threshold) 2021-01-22T21:39:37.638+0800: 1.954: [Tenured: 14560K->34362K(2796224K), 0.0893353 secs] 578306K->34362K(4054528K), [Metaspace: 33951K->33951K(1081344K)], 0.0893809 secs] [Times: user=0.13 sys=0.00, real=0.09 secs] 
2021-01-22T21:39:55.134+0800: 19.451: [GC (Allocation Failure) 2021-01-22T21:39:55.134+0800: 19.451: [DefNew: 1118528K->4742K(1258304K), 0.0057262 secs] 1152890K->39104K(4054528K), 0.0057663 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-01-22T21:40:42.534+0800: 66.850: [GC (Allocation Failure) 2021-01-22T21:40:42.534+0800: 66.850: [DefNew: 1122553K->4037K(1258304K), 0.0028923 secs] 1156915K->38399K(4054528K), 0.0029297 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:46.835+0800: 71.152: [GC (Allocation Failure) 2021-01-22T21:40:46.835+0800: 71.152: [DefNew: 1122565K->4036K(1258304K), 0.0032533 secs] 1156927K->38399K(4054528K), 0.0033163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:51.144+0800: 75.460: [GC (Allocation Failure) 2021-01-22T21:40:51.144+0800: 75.460: [DefNew: 1122564K->4036K(1258304K), 0.0028821 secs] 1156927K->38398K(4054528K), 0.0029280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:55.460+0800: 79.777: [GC (Allocation Failure) 2021-01-22T21:40:55.460+0800: 79.777: [DefNew: 1122564K->4037K(1258304K), 0.0033105 secs] 1156926K->38399K(4054528K), 0.0033735 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:40:59.803+0800: 84.119: [GC (Allocation Failure) 2021-01-22T21:40:59.803+0800: 84.119: [DefNew: 1122565K->50K(1258304K), 0.0042598 secs] 1156927K->38387K(4054528K), 0.0043064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:04.170+0800: 88.487: [GC (Allocation Failure) 2021-01-22T21:41:04.170+0800: 88.487: [DefNew: 1118578K->57K(1258304K), 0.0015724 secs] 1156915K->38396K(4054528K), 0.0016175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:08.455+0800: 92.771: [GC (Allocation Failure) 2021-01-22T21:41:08.455+0800: 92.771: [DefNew: 1118585K->64K(1258304K), 0.0017439 secs] 1156924K->38404K(4054528K), 0.0017977 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:12.862+0800: 97.179: [GC (Allocation Failure) 2021-01-22T21:41:12.862+0800: 97.179: [DefNew: 1118592K->67K(1258304K), 0.0016248 secs] 1156932K->38409K(4054528K), 0.0016788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:17.465+0800: 101.781: [GC (Allocation Failure) 2021-01-22T21:41:17.465+0800: 101.781: [DefNew: 1118595K->46K(1258304K), 0.0017752 secs] 1156937K->38387K(4054528K), 0.0018142 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:21.808+0800: 106.125: [GC (Allocation Failure) 2021-01-22T21:41:21.809+0800: 106.125: [DefNew: 1118574K->46K(1258304K), 0.0016530 secs] 1156915K->38387K(4054528K), 0.0017114 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:26.152+0800: 110.469: [GC (Allocation Failure) 2021-01-22T21:41:26.152+0800: 110.469: [DefNew: 1118574K->45K(1258304K), 0.0016205 secs] 1156915K->38389K(4054528K), 0.0016755 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:30.474+0800: 114.791: [GC (Allocation Failure) 2021-01-22T21:41:30.475+0800: 114.791: [DefNew: 1118573K->41K(1258304K), 0.0013133 secs] 1156917K->38386K(4054528K), 0.0013497 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:34.843+0800: 119.159: [GC (Allocation Failure) 2021-01-22T21:41:34.843+0800: 119.159: [DefNew: 1118569K->57K(1258304K), 0.0017848 secs] 1156914K->38402K(4054528K), 0.0018268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:39.174+0800: 123.490: [GC (Allocation Failure) 2021-01-22T21:41:39.174+0800: 123.491: [DefNew: 1118585K->59K(1258304K), 0.0015359 secs] 1156930K->38404K(4054528K), 0.0015788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:43.565+0800: 127.881: [GC (Allocation Failure) 2021-01-22T21:41:43.565+0800: 127.881: [DefNew: 1118587K->59K(1258304K), 0.0017277 secs] 1156932K->38404K(4054528K), 0.0017769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:41:47.914+0800: 132.231: [GC (Allocation Failure) 2021-01-22T21:41:47.914+0800: 132.231: [DefNew: 1118587K->59K(1258304K), 0.0019639 secs] 1156932K->38404K(4054528K), 0.0020126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 def new generation   total 1258304K, used 683017K [0x00000006c0000000, 0x0000000715550000, 0x0000000715550000)
  eden space 1118528K,  61% used [0x00000006c0000000, 0x00000006e9af3a70, 0x0000000704450000)
  from space 139776K,   0% used [0x000000070ccd0000, 0x000000070ccdec18, 0x0000000715550000)
  to   space 139776K,   0% used [0x0000000704450000, 0x0000000704450000, 0x000000070ccd0000)
 tenured generation   total 2796224K, used 38345K [0x0000000715550000, 0x00000007c0000000, 0x00000007c0000000)
   the space 2796224K,   1% used [0x0000000715550000, 0x0000000717ac25e8, 0x0000000717ac2600, 0x00000007c0000000)
 Metaspace       used 37287K, capacity 39782K, committed 39984K, reserved 1083392K
  class space    used 4688K, capacity 5076K, committed 5168K, reserved 1048576K
